screen_id,screen_name,screen_type,navigation,primary_content,fields_or_data,actions,status,main_gap
page-home,Ana Sayfa / KPI,primary_tab,Bottom tab Ana Sayfa,Genel performans ve KPI kategorileri,"Genel skor 93.6; donem; rol; Stratejik IK 9.4; Performans 9.2; Baglilik 10.7; Ise Alim 9.2; Egitim 9.5; IK Surec 4.35; KPI kategorileri; one cikan bulgular","Tumu; KPI satir chevronlari",Works,"Skala hatasi; persona belirsiz; chevronlar detay acmiyor"
page-izin,Izin / Tatil,primary_tab,Bottom tab Izin,Izin bakiyesi takvim ve gecmis,"Kalan 14 gun; kullanilan 6; toplam 20; Yillik 14/20; Mazeret 7/10; Hastalik 10/10; Bekleyen 2; Temmuz 2025 takvim; izin gecmisi","+ Yeni Izin Talebi",Works,"8 izin tipi yerine 3; onay zinciri ve cakisma kontrolu yok"
leave-sheet,Yeni Izin Talebi,bottom_sheet,Izin CTA,Izin talep formu,"Izin turu; Baslangic; Bitis; Vekil","Iptal; Onaya Gonder",Mock,"Submit sadece sheet kapatiyor; kayit/toast yok"
page-masraf,Masraf / Cuzdan,primary_tab,Bottom tab Masraf,Masraf ozeti ve son masraflar,"Bu ay onaylanan 8640 TL; limit 15000 TL; bekleyen 2340 TL; yil toplami 34.2K; seyahat 41%; ortalama 4.9K; son masraflar","+ Yeni Masraf Bildir",Works,"AI fis akisi yok; bekleyen tutar listesiyle uyumsuz"
expense-sheet,Yeni Masraf Bildirimi,bottom_sheet,Masraf CTA,Masraf bildirim formu,"Tur; Tutar TL; Tarih; Aciklama; fis fotografla/yukle alani","Iptal; Onaya Gonder",Mock,"Kamera/OCR yok; KDV para birimi policy kontrolu yok"
page-kok,AI Koc,primary_tab,Bottom tab Koc,Mock AI chat,"Acilis mesaji; kullanici mesaji; AI plani; tool rozetleri; suggestion chips; textarea","Plan yap; Izin; Gorusme notu; Egitime kayit; send",Works_mock,"V1 kapsamiyla uyumsuz aktif AI izlenimi; cevaplar keyword mock"
page-menu,Menu,primary_tab,Bottom tab Menu,Profil ve modul listesi,"Profil: Mevlut Yilmaz IK Direktoru; IK Yonetimi; Calisan Surecleri; Tanim Kurulum; Sistem","Menu item click; Gece Modu toggle",Works,"Role-based IA yok; Canias yerine Logo Tiger; 104 calisan veri uyumsuzlugu"
page-detail,Generic Detay Placeholder,generic_placeholder,Menu navTo,Insaat placeholder,"Tiklanan baslik; Bu ekran yakinda hazir olacak","Geri Don",Works,"14 farkli menu item ayni bos ekrana gidiyor"
menu-performans,Performans,menu_item,Menu > IK Yonetimi,Performans satiri,"Mevlut Yilmaz; 4.36/5; Cok Iyi",Open detail,Placeholder,"Gercek performans dashboard yok"
menu-egitim,Egitim,menu_item,Menu > IK Yonetimi,Egitim satiri,"Ihtiyac analizi; 5 asama",Open detail,Placeholder,"V1.5 ertelenen Okul ile kapsam karisik"
menu-kariyer,Kariyer Haritasi,menu_item,Menu > IK Yonetimi,Kariyer satiri,"Direktor; 87% mudurluk hazirligi",Open detail,Placeholder,"Gercek Harita ekranlari yok"
menu-isdeg,Is Degerleme,menu_item,Menu > IK Yonetimi,Is degerleme satiri,"855/1000; 6. Sinif; Yuksek",Open detail,Placeholder,"Kale kapsamiyla IA belirsiz"
menu-izin,Izin Tatil,menu_item,Menu > Calisan Surecleri,Izin ozet satiri,"14 gun kalan; 2 bekleyen",Switch tab,Works,"Yonetici/IK onay listesi yok"
menu-masraf,Masraf Cuzdan,menu_item,Menu > Calisan Surecleri,Masraf ozet satiri,"2340 TL beklemede; 8640 TL onaylandi",Switch tab,Works,"Detay/onay/finans akislari yok"
menu-sozlesme,Sozlesme Belge,menu_item,Menu > Calisan Surecleri,Sozlesme satiri,"45 gun sonra bitiyor",Open detail,Placeholder,"Belge modulu yok"
menu-sirket,Sirket Kurulum,menu_item,Menu > Tanim Kurulum,Sirket kurulum satiri,,Open detail,Placeholder,"Kurulum wizard yok"
menu-departman,Departmanlar,menu_item,Menu > Tanim Kurulum,Departman satiri,"8 departman tanimli",Open detail,Placeholder,"Repo seed 3 departman ile uyumsuz"
menu-pozisyon,Pozisyonlar,menu_item,Menu > Tanim Kurulum,Pozisyon satiri,"24 pozisyon; 3 acik",Open detail,Placeholder,"Repo seed 3 pozisyon ile uyumsuz"
menu-calisanlar,Calisanlar,menu_item,Menu > Tanim Kurulum,Calisan satiri,"104 aktif; 5 deneme",Open detail,Placeholder,"Repo seed 4 calisan ile uyumsuz"
menu-izintip,Izin Tanimlari,menu_item,Menu > Tanim Kurulum,Izin tipi satiri,"8 tip tanimli",Open detail,Placeholder,"Izin formu sadece 3 tip gosteriyor"
menu-masraftip,Masraf Kategorileri,menu_item,Menu > Tanim Kurulum,Masraf kategori satiri,"12 kategori; 85K toplam limit",Open detail,Placeholder,"Kategori yonetimi yok"
menu-performanstip,Performans Parametreleri,menu_item,Menu > Tanim Kurulum,Performans parametreleri satiri,,Open detail,Placeholder,"Yetkinlik/KPI parametre UI yok"
menu-erp,ERP Entegrasyon,menu_item,Menu > Tanim Kurulum,ERP entegrasyon satiri,"Logo Tiger bagli",Open detail,Placeholder,"Canias pilot ile celisiyor"
menu-ayarlar,Ayarlar,menu_item,Menu > Sistem,Ayarlar satiri,,Open detail,Placeholder,"Ayarlar ekranlari yok"
top-hamburger,Hamburger Menu,global_nav,Top nav left,Drawer acmasi bekleniyor,,openDrawer,Broken,"openDrawer fonksiyonu yok"
theme-toggle,Tema Toggle,global_nav,Top nav right and menu bottom,Light/dark mode,,toggleTheme,Works,"Tasarim sistemi tokenlari repo ile uyumsuz"
